VT,S,SD,NCC
0.5,1.0,0.001,0.9741402166500565
0.05,0.0003,0.001,-0.005618470231127423
0.05,0.0003,0.01,0.0031689873805623354
0.05,0.0003,0.05,0.00045945174828106216
0.05,0.0003,0.1,0.0027173624214862292
0.05,0.005,0.001,0.0154415135979131
0.05,0.005,0.01,0.0015670658545227263
0.05,0.005,0.05,-0.0019419300198645312
0.05,0.005,0.1,-0.0028095171714117716
0.05,0.0495,0.001,0.17271990539163545
0.05,0.0495,0.01,0.024721802831245334
0.05,0.0495,0.05,0.009771823916183163
0.05,0.0495,0.1,0.008767360146841732
0.05,1,0.001,0.9738664693326478
0.05,1,0.01,0.3209429660897024
0.05,1,0.05,0.07003962758322929
0.05,1,0.1,0.0414190389745597
0.05,0.1,0.001,0.3230415071712948
0.05,0.1,0.01,0.03883173577525311
0.05,0.1,0.05,0.004900578360462535
0.05,0.1,0.1,0.010346687357914447
0.05,0.2,0.001,0.5607794586809844
0.05,0.2,0.01,0.07251804673462674
0.05,0.2,0.05,0.02069525715160618
0.05,0.2,0.1,0.007165085457621774
0.05,0.3,0.001,0.6966052988567201
0.05,0.3,0.01,0.09857653585783892
0.05,0.3,0.05,0.020227847598304212
0.05,0.3,0.1,0.003246474879581907
0.05,0.4,0.001,0.7800184426075915
0.05,0.4,0.01,0.14084709961109068
0.05,0.4,0.05,0.018812911599728498
0.05,0.4,0.1,0.013473368391007453
0.05,0.5,0.001,0.8312627587306679
0.05,0.5,0.01,0.176349520853757
0.05,0.5,0.05,0.03508659993593631
0.05,0.5,0.1,0.004717218170798877
0.05,0.6,0.001,0.8753162601666196
0.05,0.6,0.01,0.20248432153085946
0.05,0.6,0.05,0.048057795376665775
0.05,0.6,0.1,0.025969424722491023
0.05,0.7,0.001,0.910365165005209
0.05,0.7,0.01,0.23554936660827233
0.05,0.7,0.05,0.055334221553379435
0.05,0.7,0.1,0.018289541098159195
0.05,0.8,0.001,0.9373418991258419
0.05,0.8,0.01,0.2649391239008275
0.05,0.8,0.05,0.06077136110106678
0.05,0.8,0.1,0.021946382656365025
0.05,0.9,0.001,0.9600052394041821
0.05,0.9,0.01,0.2926490712645127
0.05,0.9,0.05,0.057011592169061584
0.05,0.9,0.1,0.025782092009612314
0.05,1.0,0.001,0.9746494899198528
0.05,1.0,0.01,0.3219908105711454
0.05,1.0,0.05,0.06597442276778163
0.05,1.0,0.1,0.03399637676423589
1.0,0.3105479292688548
1.0,0.3195473431597963
1.0,0.970712052637419
1.0,0.9706873739947961
1.0,0.970619651087326
1.0,0.9700227282983097
1.0,0.9726421184210441
