AT,AV,NCC,SA,VD,RMS
DEA,1.0,0.9486774767958333,0.9554610256560223,0.00730382201649827,0.02486982903459514
DEA,1.8,0.8573905474149472,0.9451500599148019,0.008080995278346595,0.025666658663419373
DEA,1.9,0.844816958168407,0.9444935818445797,0.008201801226702703,0.025795799096586206
DEA,2.0,0.8319280250166164,0.9425395607102574,0.00832527982663985,0.02593323721951853
DEA,3.0,0.7070572008316275,0.912448316838137,0.009796631596840086,0.02755261001000051
DEA,4.0,0.6001797865048453,0.8577147248023002,0.011545380666196927,0.029638429165769767
DEA,5.0,0.5140612597176111,0.7825871108321307,0.013459004283740686,0.03207949087626197
DEA,6.0,0.4472121943085317,0.6836846164645022,0.015490320490718253,0.03473338312936708
DEA,7.0,0.39328600922023405,0.540528898626149,0.01758943550324724,0.03756823788577873
DEA,8.0,0.3502682462886661,0.3891218758944417,0.01972506450314107,0.040608248636364044
DEA,9.0,0.3164328368599807,0.2799774376720374,0.021913387295539502,0.04372948423576724
DEA,10.0,0.2871702174254018,0.2205227411004058,0.02411335986311622,0.04691486382992884
GWN,0.001,0.9919216528987153,0.9566072181815972,0.007041916301869477,0.0246134422610379
GWN,0.002,0.9687892042753963,0.9539875241768124,0.0073682094485076795,0.02492998325090394
GWN,0.003,0.9336768466005618,0.9471794478440295,0.007882886560309067,0.025452697282083568
GWN,0.004,0.8902098400302104,0.9391706494099272,0.008550604526507842,0.026151636280905936
GWN,0.005,0.8420614615275581,0.9213246833402624,0.009337385365929346,0.027032211180144258
GWN,0.006,0.7933998471153463,0.9028926150758162,0.010224830881467646,0.028052387172434565
GWN,0.007,0.7448851813985267,0.8735410355350481,0.011180391943636899,0.029201344522372868
GWN,0.008,0.6987542066720844,0.8373430676457597,0.012185369624160754,0.03041763846517845
GWN,0.009,0.6557147839296088,0.7939843364387084,0.013242954168738837,0.03177119129326872
GWN,0.01,0.6163732375184288,0.7444985868556381,0.014328210996876657,0.033173959195831396
RRP,0.001,0.9431941989157617,0.9576702945837163,0.0069553696416130234,0.024506332186769716
RRP,0.002,0.9329384900631753,0.9567837110311623,0.006980984134310691,0.02451305161733089
RRP,0.003,0.914416688790261,0.9562413407807764,0.00700250695289207,0.024520474332537942
RRP,0.004,0.8824075108353467,0.9556593502639841,0.00702608786271371,0.024525842886060054
RRP,0.005,0.8381837396427332,0.9546373962919864,0.00706407437065915,0.024526296803246875
RRP,0.006,0.7819525331853678,0.9546202926746342,0.007091776448916741,0.024530456807842587
RRP,0.007,0.82010531516175,0.9540756059486015,0.0071076479044411755,0.02454712823060307
RRP,0.008,0.708031171366044,0.9531905505395198,0.007175825940239374,0.0245522717888424
RRP,0.009,0.7048144125774383,0.9528760667099593,0.007215346985553785,0.024552446014114528
RRP,0.01,0.7628156112424936,0.9509002403845472,0.00719380679767096,0.024562735754696183
DEA,1.1,0.9388486174677249,0.9547827550600986,0.007378865767450705,0.02494327187537628
DEA,1.2,0.9284492556583318,0.9526801405722889,0.0074610847530369685,0.025030862271783763
DEA,1.3,0.9175379499663213,0.9518278573902157,0.00754744247608688,0.025115293839507988
DEA,1.4,0.9061427325288105,0.9514305819144576,0.007645255418170423,0.025213072951690344
DEA,1.5,0.8942720265010793,0.9499155489078613,0.0077384888408798275,0.025318436719887056
DEA,1.6,0.882452183479747,0.9480120018628574,0.007854624556856933,0.025432648634300944
DEA,1.7,0.8700180710430767,0.9476144301443364,0.007964110271079017,0.025548289734895802

