S,SA,VD,RMS
1.0,0.988573788121074,0.002828707962675611,0.042312641747440725
2.0,0.9760500173088335,0.00565702301446094,0.03974115563431671
3.0,0.957901440393639,0.008488127948992728,0.03685746366396115
4.0,0.9165675866908765,0.01131503023276448,0.03179630912737488
5.0,0.8313897702902661,0.014138521128231836,0.02907413948789228
6.0,0.7160701227648834,0.016971889761483935,0.028047937852757856
7.0,0.6018836616345351,0.01979864659937554,0.02726142924518847
8.0,0.5048992874716905,0.02263389092801553,0.026508748210765078
9.0,0.4281592760160421,0.025459286623072855,0.02521326196237528
10.0,0.3698349834887389,0.028280468609418446,0.023983659089289663
